,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.53,26.39,27.28,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.42,inf,inf,inf,inf,inf,inf,28.88,inf,inf,inf,inf,inf,inf,16.7,inf,inf,inf,inf,inf,28.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.42,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.94,25.8,26.69,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.84,inf,inf,inf,inf,inf,inf,28.3,inf,inf,inf,inf,inf,inf,15.72,inf,inf,inf,inf,inf,27.81,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.03,inf,inf,inf,inf,inf,28.83,inf,inf,29.97,inf,inf,30.28,inf,inf,inf,inf,inf
2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.78,25.62,26.53,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.67,inf,inf,inf,inf,inf,inf,28.12,inf,inf,inf,inf,inf,inf,15.96,inf,inf,inf,inf,inf,27.66,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.0,inf,inf,inf,inf,inf,28.67,inf,inf,29.81,inf,inf,30.11,inf,inf,inf,inf,inf
3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.86,25.72,26.62,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.77,inf,inf,inf,inf,inf,inf,28.22,inf,inf,inf,inf,inf,inf,15.64,inf,inf,inf,inf,inf,27.73,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.95,inf,inf,inf,inf,inf,28.73,inf,inf,29.89,inf,inf,30.2,inf,inf,inf,inf,inf
4,inf,inf,inf,inf,inf,inf,inf,30.33,inf,inf,inf,inf,24.67,24.55,25.44,inf,inf,inf,inf,inf,inf,inf,30.06,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.58,inf,inf,inf,inf,inf,inf,27.02,inf,inf,inf,inf,inf,inf,14.85,inf,inf,inf,inf,inf,26.55,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.89,inf,inf,inf,inf,inf,27.56,33.38,inf,28.7,inf,inf,29.02,inf,inf,inf,inf,inf
5,inf,26.25,26.98,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.75,27.17,21.23,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13.81,inf,28.25,inf,inf,inf,22.34,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
6,inf,25.66,26.39,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.14,26.56,20.62,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13.21,inf,27.64,inf,inf,inf,21.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.9,inf,inf,inf,inf,inf,inf,33.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.33,30.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.03,inf,inf,inf,inf,inf,inf,24.03,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.34,inf,inf,inf,inf,inf,27.48,inf,inf,inf,30.11,25.02,inf,inf,inf,inf,inf
8,inf,inf,inf,inf,inf,inf,inf,27.48,inf,inf,inf,inf,26.08,23.86,25.78,inf,inf,inf,inf,inf,inf,inf,29.39,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.95,inf,inf,inf,inf,inf,inf,23.17,inf,inf,inf,inf,inf,inf,19.55,inf,inf,inf,inf,inf,26.92,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.08,27.25,inf,inf,inf,inf,inf,26.83,inf,inf,inf,30.25,25.16,inf,inf,inf,inf,inf
9,inf,inf,inf,inf,inf,inf,inf,26.75,inf,inf,inf,inf,25.34,23.11,25.06,inf,inf,inf,inf,inf,inf,inf,28.64,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.2,inf,inf,inf,inf,inf,inf,22.44,inf,inf,inf,inf,inf,inf,18.81,inf,inf,inf,inf,inf,26.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.33,26.52,inf,inf,inf,inf,30.16,26.1,inf,inf,inf,29.5,24.42,inf,inf,inf,inf,inf
