,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
0,39.72,33.72,33.06,63.97,86.2,41.88,93.5,32.2,44.5,69.3,43.56,91.0,26.53,26.39,27.28,39.3,79.2,38.34,126.8,80.94,52.6,84.56,31.9,81.9,40.72,173.8,73.8,68.7,51.4,42.25,55.44,43.8,51.22,81.75,73.5,30.42,49.25,41.03,38.94,36.66,138.6,35.38,28.88,39.56,109.56,44.56,37.62,94.2,80.9,16.7,99.9,34.06,37.72,58.75,49.44,28.4,34.03,44.84,36.8,113.25,213.0,44.7,54.4,38.38,92.25,61.97,45.84,41.3,133.5,104.56,84.8,30.75,32.94,40.56,56.0,57.25,59.78,29.42,34.9,36.84,30.56,38.5,35.97,30.88,47.88,49.66,45.25,33.38,42.9
1,39.12,33.12,32.44,63.38,85.6,41.3,92.9,31.6,43.9,68.75,42.97,90.44,25.94,25.8,26.69,38.75,78.56,37.75,126.25,80.4,52.0,83.94,31.33,81.4,39.75,173.2,73.2,68.06,50.84,41.28,54.88,43.2,50.62,81.1,72.94,29.84,48.62,40.44,37.97,36.1,138.0,34.38,28.3,38.97,108.94,44.0,37.03,93.6,80.25,15.72,99.25,33.47,37.16,58.2,48.8,27.81,33.03,43.84,36.25,112.6,212.4,44.1,53.8,37.75,91.6,61.4,45.25,40.7,132.9,104.0,84.25,30.03,32.38,40.0,54.97,56.7,59.2,28.83,34.25,36.25,29.97,37.9,35.34,30.28,47.3,49.1,44.7,32.78,42.34
2,38.97,32.97,32.3,63.22,85.44,41.12,92.75,31.42,43.75,68.56,42.8,90.25,25.78,25.62,26.53,38.56,78.44,37.6,126.06,80.2,51.84,83.8,31.16,81.1,39.97,173.0,73.06,67.94,50.66,41.5,54.7,43.03,50.47,81.0,72.75,29.67,48.47,40.28,38.2,35.9,137.9,34.62,28.12,38.8,108.8,43.8,36.88,93.44,80.1,15.96,99.1,33.3,36.97,58.0,48.66,27.66,33.28,44.1,36.06,112.5,212.2,43.94,53.66,37.6,91.5,61.22,45.1,40.56,132.8,103.8,84.06,30.0,32.2,39.8,55.22,56.5,59.03,28.67,34.47,36.1,29.81,37.75,35.2,30.11,47.12,48.9,44.5,32.62,42.16
3,39.03,33.03,32.38,63.28,85.5,41.22,92.8,31.52,43.84,68.7,42.88,90.4,25.86,25.72,26.62,38.66,78.5,37.7,126.1,80.3,51.94,83.9,31.25,81.25,39.66,173.1,73.1,68.0,50.75,41.2,54.78,43.1,50.56,81.06,72.9,29.77,48.56,40.34,37.88,36.0,137.9,34.3,28.22,38.9,108.9,43.9,36.94,93.5,80.2,15.64,99.2,33.4,37.06,58.1,48.75,27.73,32.97,43.75,36.16,112.56,212.4,44.03,53.75,37.7,91.56,61.3,45.16,40.62,132.8,103.94,84.2,29.95,32.28,39.9,54.9,56.6,59.12,28.73,34.16,36.16,29.89,37.84,35.28,30.2,47.22,49.0,44.6,32.72,42.25
4,37.84,31.88,31.19,62.1,84.4,40.06,91.6,30.33,42.66,67.44,41.72,89.2,24.67,24.55,25.44,37.5,77.3,36.47,125.0,79.1,50.75,82.7,30.06,80.0,38.88,171.9,71.94,66.8,49.56,40.4,53.6,41.94,49.34,79.9,71.7,28.58,47.38,39.2,37.1,34.84,136.8,33.5,27.02,37.72,107.7,42.72,35.78,92.4,79.0,14.85,98.0,32.22,35.88,56.9,47.56,26.55,32.16,43.0,34.97,111.4,211.1,42.8,52.53,36.5,90.4,60.12,44.0,39.44,131.6,102.75,82.94,28.89,31.11,38.75,54.12,55.4,57.94,27.56,33.38,35.0,28.7,36.66,34.1,29.02,46.0,47.8,43.4,31.5,41.03
5,34.1,26.25,26.98,65.25,87.9,36.3,94.75,32.97,43.47,72.94,37.75,94.56,17.75,27.17,21.23,33.75,82.75,41.94,130.4,79.94,56.2,86.2,32.72,85.44,43.75,168.2,68.2,72.25,55.0,45.28,49.88,42.75,54.8,85.3,74.3,26.75,52.8,40.0,40.03,37.47,133.0,38.4,32.44,33.75,103.94,46.78,38.4,95.0,81.6,13.81,103.44,28.25,34.2,60.1,50.2,22.34,37.06,47.88,35.8,116.8,207.8,45.44,55.16,40.0,91.2,60.97,40.03,35.3,127.9,108.2,88.4,24.5,35.8,41.9,59.0,60.84,63.38,31.64,33.9,38.5,31.86,39.8,39.53,34.44,48.66,48.66,48.8,35.0,46.5
6,33.5,25.66,26.39,64.7,87.25,35.72,94.2,32.38,42.88,72.3,37.16,93.94,17.14,26.56,20.62,33.12,82.1,41.3,129.9,79.3,55.6,85.56,32.1,84.9,43.12,167.6,67.56,71.6,54.38,44.66,49.25,42.16,54.2,84.75,73.7,26.14,52.22,39.4,39.44,36.84,132.4,37.78,31.84,33.12,103.4,46.2,37.8,94.44,81.0,13.21,102.8,27.64,33.6,59.5,49.6,21.75,36.47,47.28,35.22,116.2,207.1,44.84,54.56,39.4,90.56,60.38,39.44,34.72,127.3,107.56,87.8,23.9,35.22,41.28,58.4,60.25,62.78,31.03,33.3,37.9,31.27,39.2,38.94,33.84,48.06,48.03,48.22,34.4,45.88
7,43.12,41.53,36.03,69.94,95.3,45.34,99.44,31.6,47.5,63.47,47.94,83.75,30.55,28.33,30.27,42.75,73.3,32.47,119.56,83.94,45.38,93.6,33.88,74.7,51.16,177.1,77.2,62.84,57.34,52.72,58.88,46.78,45.34,75.94,75.44,33.44,42.0,44.03,48.72,38.6,142.0,45.8,23.03,43.75,113.0,50.5,39.6,96.2,80.7,24.03,92.6,42.1,40.75,64.7,51.38,31.39,44.47,55.28,39.84,105.94,216.0,46.62,56.34,41.5,95.2,65.0,49.25,48.8,136.9,97.3,79.0,33.56,24.34,46.5,66.44,63.22,65.75,35.34,27.48,46.0,36.5,44.44,30.11,25.02,49.8,52.66,51.2,42.5,37.06
8,38.66,37.03,31.55,65.44,90.9,40.84,94.94,27.48,43.03,63.6,43.44,85.25,26.08,23.86,25.78,38.28,73.5,32.62,121.1,79.44,46.9,89.25,29.39,76.2,46.7,172.8,72.75,62.97,52.9,48.22,54.4,42.28,45.5,76.06,71.0,28.95,43.5,39.53,44.25,34.16,137.5,41.34,23.17,39.3,108.5,46.06,35.1,91.7,78.4,19.55,94.1,37.6,36.25,60.22,46.88,26.92,40.0,50.8,35.34,107.5,211.6,42.16,51.84,37.0,90.75,60.5,44.75,44.34,132.4,98.8,79.1,29.08,27.25,42.06,61.94,58.72,61.25,30.88,26.83,41.5,32.03,39.97,30.25,25.16,45.34,48.2,46.75,38.0,37.22
9,37.9,36.28,30.81,64.7,90.1,40.1,94.2,26.75,42.28,62.88,42.7,84.56,25.34,23.11,25.06,37.53,72.75,31.89,120.4,78.7,46.16,88.5,28.64,75.44,45.94,172.0,72.0,62.22,52.16,47.47,53.66,41.56,44.78,75.3,70.25,28.2,42.78,38.8,43.5,33.4,136.8,40.6,22.44,38.56,107.75,45.3,34.34,90.94,77.6,18.81,93.44,36.84,35.5,59.5,46.12,26.17,39.25,50.06,34.6,106.75,210.9,41.4,51.12,36.25,90.0,59.75,44.0,43.6,131.6,98.1,78.4,28.33,26.52,41.3,61.2,58.0,60.53,30.16,26.1,40.75,31.3,39.22,29.5,24.42,44.62,47.44,46.0,37.3,36.47
