,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.16,26.1,27.9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.8,inf,inf,inf,inf,inf,inf,28.44,inf,inf,inf,inf,inf,inf,16.12,inf,inf,inf,inf,inf,28.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.89
1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.4,25.36,27.16,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.06,inf,inf,inf,inf,inf,inf,27.7,inf,inf,inf,inf,inf,inf,14.99,inf,inf,inf,inf,inf,27.34,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.69,inf,inf,inf,inf,inf,28.16
2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.4,25.34,27.16,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.05,inf,inf,inf,inf,inf,inf,27.69,inf,inf,inf,inf,inf,inf,15.38,inf,inf,inf,inf,inf,27.34,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.81,inf,inf,inf,inf,inf,28.14
3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.33,25.28,27.08,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.98,inf,inf,inf,inf,inf,inf,27.62,inf,inf,inf,inf,inf,inf,14.91,inf,inf,inf,inf,inf,27.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.6,inf,inf,inf,inf,inf,28.06
4,inf,inf,inf,inf,inf,inf,inf,29.84,inf,inf,inf,inf,24.28,24.23,26.03,inf,inf,inf,inf,inf,inf,inf,29.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.94,inf,inf,inf,inf,inf,inf,26.56,inf,inf,inf,inf,inf,inf,14.26,inf,inf,inf,inf,inf,26.22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.69,inf,inf,inf,inf,inf,27.02
5,inf,25.78,26.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.34,27.61,21.83,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13.22,inf,27.88,inf,inf,inf,22.02,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.06,inf,inf,inf,inf,inf,inf
6,inf,25.03,26.05,inf,inf,inf,inf,inf,inf,inf,inf,inf,16.6,26.86,21.08,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.34,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.47,inf,27.12,inf,inf,inf,21.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.31,inf,inf,inf,inf,inf,inf
7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.94,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.48,inf,inf,inf,inf,inf,inf,23.34,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.34,inf,inf,inf,inf,inf
8,inf,inf,inf,inf,inf,inf,inf,26.95,inf,inf,inf,inf,25.64,23.52,26.34,inf,inf,inf,inf,inf,inf,inf,28.98,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.27,inf,inf,inf,inf,inf,inf,22.67,inf,inf,inf,inf,inf,inf,18.9,inf,inf,inf,inf,inf,26.55,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.6,26.55,inf,inf,inf,inf,inf
9,inf,inf,inf,inf,inf,inf,inf,26.22,inf,inf,inf,inf,24.9,22.77,25.61,inf,inf,inf,inf,inf,inf,inf,28.23,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.52,inf,inf,inf,inf,inf,inf,21.94,inf,inf,inf,inf,inf,inf,18.17,inf,inf,inf,inf,inf,25.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.84,26.27,inf,inf,inf,inf,29.56
